"","sampleID","purified_concentration","experiment","tissue","DNA_ext_date","special_char","plantID","plant_trt","orig_soil","oil_added","table","block","sampling_period","season","stem_ht","stem_diam","num_nodes","num_stems_live","num_stems_outside","num_infl","total_mass_infl","avg_mass_infl","pH","conductivity","Leaf_percent_N","Leaf_percent_C","duke_sampleID","Leaf_C.N","Root_percent_N","Root_percent_C","Root_C.N","mass_ag_i","mass_ag_o","mass_bg_i","mass_bg_o","mass_dead","mass_live_total","dead_live_ratio","Hopanes","total_relevant_PAHs","Total.Naph.","Total.Dibenz.","Total.Phenan.","Total.Chrys.","naph_WR","dibenz_WR","phen_WR","Treatment","seq_count"
"L8-N16","S5_L08_N16",4.51,"S5","Leaf","2017-07-07","Exp. Sample","8","Y","Not Prev-Oiled Inoc","No Oil Added","3","1","N16","Growing",NA,5.78666666666667,8,21,NA,14,9.36,0.668571428571428,6.79,2.14,1.494911134,42.3541069,"L8-N16",28.3321904136678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,0.241,0.1902,0.0102,0.0403,3e-04,0.998425196850394,0.971428571428571,0.992610837438424,"No Oil Added ; Not Prev-Oiled Inoc",1039
"L9-J17","S5_L09_J17",7.48,"S5","Leaf","2019-01-09","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","J17","Non-Growing",59.625,4.4575,4,59,NA,NA,NA,NA,6.94,2.86,1.228752792,42.04549217,"L9-J17",34.2180237096869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"L9-N16","S5_L09_N16",8.76,"S5","Leaf","2017-07-10","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","N16","Growing",71.628,4.34666666666667,5,31,NA,10,2,0.2,7.1,4.31,1.662596285,42.73830414,"L9-N16",25.7057618410353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.131,0.0602,0.0302,0.0403,3e-04,0.99504132231405,0.990163934426229,0.992610837438424,"Oil Added ; Not Prev-Oiled Inoc",1039
"R19-J18","S5_R19_J18",5.39,"S5","Root","2019-06-18","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","J18","Non-Growing",41.06,3.5925,3,121,18,NA,NA,NA,6.78,0.8,NA,NA,"R19-J18",NA,0.4948980659,37.84444427,76.4691698707243,107.5,1.4,142.17,26.63,70.2,277.7,0.252790781418797,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Not Prev-Oiled Inoc",1039
"R19-N16","S5_R19_N16",6.34,"S5","Root","2019-06-05","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","N16","Growing",42.164,3.01333333333333,6,33,NA,0,0,0,6.9,1.88,NA,NA,"R19-N16",NA,0.877805829,40.39173508,46.0144302368263,NA,NA,NA,NA,NA,NA,NA,0.01,0.1311,0.1102,0.0202,4e-04,3e-04,0.997285067873303,0.985365853658536,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
"R27-J17","S5_R27_J17",7.9,"S5","Root","2019-06-14","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","J17","Non-Growing",80.9,5.403,6,59,NA,NA,NA,NA,7.09,3.34,NA,NA,"R27-J17",NA,0.5232738853,37.49836349,71.6610642025479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"R27-J18","S5_R27_J18",6.87,"S5","Root","2019-06-18","Exp. Sample","27","Y","Not Prev-Oiled Inoc","Oil Added","3","3","J18","Non-Growing",60.25,4.575,5,82,37,NA,NA,NA,7.42,1.01,NA,NA,"R27-J18",NA,0.5792626739,35.38527489,61.086751286358,116.61,21.87,390.99,120,208.85,649.47,0.321569895453216,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"R29-J17","S5_R29_J17",7.61,"S5","Root","2019-06-11","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","J17","Non-Growing",64.9,4.386,7,84,NA,NA,NA,NA,7.83,1.4,NA,NA,"R29-J17",NA,0.4888192266,40.23680878,82.3142924632253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"R29-J18","S5_R29_J18",7.96,"S5","Root","2019-06-18","Exp. Sample","29","Y","Not Prev-Oiled Inoc","Oil Added","3","4","J18","Non-Growing",45.815,3.345,3,98,24,NA,NA,NA,7.56,0.65,NA,NA,"R29-J18",NA,0.6417255998,38.50901985,60.0085454935906,137.46,12.47,160.26,64.19,116.4,374.38,0.310914044553662,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"R30-J18","S5_R30_J18",6.14,"S5","Root","2019-06-18","Exp. Sample","30","Y","Not Prev-Oiled Inoc","No Oil Added","3","4","J18","Non-Growing",47.81,4.465,3,92,7,NA,NA,NA,7.19,0.83,NA,NA,"R30-J18",NA,0.4917185754,38.81236458,78.9320691178428,159.39,0.699999999999996,372.5,16.9,137.41,549.49,0.250068245100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Not Prev-Oiled Inoc",1039
