"","sampleID","purified_concentration","experiment","tissue","DNA_ext_date","special_char","plantID","plant_trt","orig_soil","oil_added","table","block","sampling_period","season","stem_ht","stem_diam","num_nodes","num_stems_live","num_stems_outside","num_infl","total_mass_infl","avg_mass_infl","pH","conductivity","Leaf_percent_N","Leaf_percent_C","duke_sampleID","Leaf_C.N","Root_percent_N","Root_percent_C","Root_C.N","mass_ag_i","mass_ag_o","mass_bg_i","mass_bg_o","mass_dead","mass_live_total","dead_live_ratio","Hopanes","total_relevant_PAHs","Total.Naph.","Total.Dibenz.","Total.Phenan.","Total.Chrys.","naph_WR","dibenz_WR","phen_WR","Treatment","seq_count"
"S61-J17","S5_S61_J17",6.67,"S5","Soil","2018-11-19","Exp. Sample","61","N","Prev-Oiled Inoc.","Oil Added","4","3","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.46,0.87,NA,NA,"S61-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,220.1305,100.56,34.6601,81.1002,3.8102,0.963493410954468,0.900957361912956,0.955126816031958,"Oil Added ; Prev-Oiled Inoc.",1039
"S61-J18","S5_S61_J18",5.69,"S5","Soil","2018-11-14","Exp. Sample","61","N","Prev-Oiled Inoc.","Oil Added","4","3","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.43,0.83,NA,NA,"S61-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,32.45,9.07,5.1,15.82,2.46,0.78664353859497,0.674603174603175,0.865426695842451,"Oil Added ; Prev-Oiled Inoc.",1039
"S61-N16","S5_S61_N16",7.13,"S5","Soil","2018-10-24","Exp. Sample","61","N","Prev-Oiled Inoc.","Oil Added","4","3","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,6.89,1.56,NA,NA,"S61-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,280.03,35.84,28.4,196.07,19.72,0.645068394528438,0.590191188694929,0.908614857036934,"Oil Added ; Prev-Oiled Inoc.",1039
"S61-N17","S5_S61_N17",4.1,"S5","Soil","2018-11-06","Exp. Sample","61","N","Prev-Oiled Inoc.","Oil Added","4","3","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.98,1.04,NA,NA,"S61-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,155.5502,63.32,26.3701,56.97,8.8901,0.876885643421073,0.747871537881237,0.865015388679944,"Oil Added ; Prev-Oiled Inoc.",1039
"S62-J17","S5_S62_J17",6.29,"S5","Soil","2018-11-19","Exp. Sample","62","N","Prev-Oiled Inoc.","No Oil Added","4","3","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.34,0.81,NA,NA,"S62-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,4.4405,0.6601,0.9601,2.3801,0.4402,0.599927292556576,0.685638791687495,0.843917313760947,"No Oil Added ; Prev-Oiled Inoc.",1039
"S62-J18","S5_S62_J18",6.63,"S5","Soil","2018-11-14","Exp. Sample","62","N","Prev-Oiled Inoc.","No Oil Added","4","3","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,10.19,0.48,NA,NA,"S62-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3307,0.1103,0.0601,0.0403,1.12,0.089652930179631,0.0509278874671638,0.0347323967939326,"No Oil Added ; Prev-Oiled Inoc.",1039
"S62-N16","S5_S62_N16",4.59,"S5","Soil","2018-10-24","Exp. Sample","62","N","Prev-Oiled Inoc.","No Oil Added","4","3","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.13,1.66,NA,NA,"S62-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1.8406,0.0902,0.0602,0.9002,0.79,0.102476709838673,0.0708068689720066,0.532599692344101,"No Oil Added ; Prev-Oiled Inoc.",1039
"S62-N17","S5_S62_N17",6.01,"S5","Soil","2018-11-06","Exp. Sample","62","N","Prev-Oiled Inoc.","No Oil Added","4","3","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,10.05,1.13,NA,NA,"S62-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,2.7906,0.2402,0.3501,1.9201,0.2802,0.461568024596464,0.555449785816278,0.872653729036949,"No Oil Added ; Prev-Oiled Inoc.",1039
"S63-J17","S5_S63_J17",6.14,"S5","Soil","2018-11-19","Exp. Sample","63","N","Prev-Oiled Inoc.","Oil Added","1","4","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.32,0.91,NA,NA,"S63-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91,151.8304,58.62,21.4601,69.6501,2.1002,0.96541183988195,0.910858520477243,0.970729042247907,"Oil Added ; Prev-Oiled Inoc.",1039
"S63-J18","S5_S63_J18",7.81,"S5","Soil","2018-11-14","Exp. Sample","63","N","Prev-Oiled Inoc.","Oil Added","1","4","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.03,0.72,NA,NA,"S63-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,38.73,8.67,5.67,20.32,4.07,0.680533751962323,0.582135523613963,0.833128331283313,"Oil Added ; Prev-Oiled Inoc.",1039
"S63-N16","S5_S63_N16",5.16,"S5","Soil","2018-10-24","Exp. Sample","63","N","Prev-Oiled Inoc.","Oil Added","1","4","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,6.96,4.43,NA,NA,"S63-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,576.95,79.96,58.78,411.09,27.12,0.746731415763915,0.684284051222352,0.938111864174711,"Oil Added ; Prev-Oiled Inoc.",1039
"S63-N17","S5_S63_N17",4.79,"S5","Soil","2018-11-06","Exp. Sample","63","N","Prev-Oiled Inoc.","Oil Added","1","4","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,9.14,1.49,NA,NA,"S63-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,5.3609,4.4001,0.4502,4e-04,0.5102,0.896095961550211,0.468763015410246,0.000783392087739914,"Oil Added ; Prev-Oiled Inoc.",1039
"S65-J17","S5_S65_J17",7.13,"S5","Soil","2018-11-19","Exp. Sample","65","N","Prev-Oiled Inoc.","No Oil Added","2","4","J17","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.55,0.97,NA,NA,"S65-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,2.0507,0.3002,0.5401,0.8402,0.3702,0.447792362768496,0.59332088322531,0.694150693985459,"No Oil Added ; Prev-Oiled Inoc.",1039
"S65-J18","S5_S65_J18",5.55,"S5","Soil","2018-11-14","Exp. Sample","65","N","Prev-Oiled Inoc.","No Oil Added","2","4","J18","Non-Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.31,0.51,NA,NA,"S65-J18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,2.6906,0.1103,0.1701,0.5002,1.91,0.0545958521011731,0.081774914667564,0.207534644427848,"No Oil Added ; Prev-Oiled Inoc.",1039
"S65-N16","S5_S65_N16",6.01,"S5","Soil","2018-10-24","Exp. Sample","65","N","Prev-Oiled Inoc.","No Oil Added","2","4","N16","Growing",NA,NA,NA,NA,NA,NA,NA,NA,7.1,1.59,NA,NA,"S65-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2.8405,0.0402,0.0402,1.5001,1.26,0.0309183202584218,0.0309183202584218,0.54349480091301,"No Oil Added ; Prev-Oiled Inoc.",1039
"S65-N17","S5_S65_N17",6.18,"S5","Soil","2018-11-06","Exp. Sample","65","N","Prev-Oiled Inoc.","No Oil Added","2","4","N17","Growing",NA,NA,NA,NA,NA,NA,NA,NA,8.96,1.29,NA,NA,"S65-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,3.7705,0.4201,0.8401,2.0301,0.4802,0.4666222370321,0.636294781489056,0.808708122535155,"No Oil Added ; Prev-Oiled Inoc.",1039
"S66-J17","S5_S66_J17",6.04,"S5","Soil","2018-11-19","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","J17","Non-Growing",62.575,4.6195,6,63,NA,NA,NA,NA,6.84,1.21,NA,NA,"S66-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,3.4208,0.1203,0.2702,1.8402,1.1901,0.0918040293040293,0.18503047319044,0.607266607266607,"No Oil Added ; Prev-Oiled Inoc.",1039
"S66-J18","S5_S66_J18",6.09,"S5","Soil","2018-11-14","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","J18","Non-Growing",42.785,3.54,3,107,23,NA,NA,NA,6.7,0.6,NA,NA,"S66-J18",NA,NA,NA,NA,134.94,7.03,231.18,27.6,83.27,400.75,0.207785402370555,1.19,1.2209,0.1103,0.0102,4e-04,1.1,0.0911344294802942,0.00918753377769771,0.000363504180298073,"No Oil Added ; Prev-Oiled Inoc.",1039
"S66-N16","S5_S66_N16",6.04,"S5","Soil","2018-10-24","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","N16","Growing",72.898,3.94666666666667,6,46,NA,1,0.24,0.24,6.76,1.39,NA,NA,"S66-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1.9605,0.0203,0.0702,0.88,0.99,0.0200930416707909,0.066213921901528,0.470588235294118,"No Oil Added ; Prev-Oiled Inoc.",1039
"S66-N17","S5_S66_N17",5.55,"S5","Soil","2018-11-06","Exp. Sample","66","Y","Prev-Oiled Inoc.","No Oil Added","4","3","N17","Growing",74.8,4.67,11,66,NA,6,0.55,0.0916666666666667,8.16,1.55,NA,NA,"S66-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74,6.2805,0.6801,1.0401,2.9002,1.6601,0.290616186650714,0.385193689356344,0.635966932000088,"No Oil Added ; Prev-Oiled Inoc.",1039
"S68-J18","S5_S68_J18",5.3,"S5","Soil","2018-11-14","Exp. Sample","68","Y","Prev-Oiled Inoc.","No Oil Added","1","4","J18","Non-Growing",44.36,4.205,4,109,14,NA,NA,NA,7.28,0.68,NA,NA,"S68-J18",NA,NA,NA,NA,123.79,6.53,212.99,20.89,118.65,364.2,0.325782537067545,1.64,2.1008,0.1203,0.0301,4e-04,1.95,0.0581075206491813,0.0152012524619969,0.000205086136177194,"No Oil Added ; Prev-Oiled Inoc.",1039
"S68-N16","S5_S68_N16",2.84,"S5","Soil","2018-10-24","Exp. Sample","68","Y","Prev-Oiled Inoc.","No Oil Added","1","4","N16","Growing",79.248,4.44,6,47,NA,0,0,0,6.82,2.36,NA,NA,"S68-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,7.5503,0.0202,1.0001,3.63,2.9,0.00691733442914869,0.256429322325069,0.555895865237366,"No Oil Added ; Prev-Oiled Inoc.",1039
"S68-N17","S5_S68_N17",4.87,"S5","Soil","2018-11-06","Exp. Sample","68","Y","Prev-Oiled Inoc.","No Oil Added","1","4","N17","Growing",55.75,3.96,8,72,NA,0,0,0,7.12,1.96,NA,NA,"S68-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,2.2509,0.2702,0.8801,1.1003,3e-04,0.998890942698706,0.999659245797365,0.999727421406506,"No Oil Added ; Prev-Oiled Inoc.",1039
"S69-J17","S5_S69_J17",7.61,"S5","Soil","2018-11-19","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","J17","Non-Growing",73.475,5.251,7,49,NA,NA,NA,NA,7.19,3.12,NA,NA,"S69-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"S69-J18","S5_S69_J18",3.04,"S5","Soil","2018-11-14","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","J18","Non-Growing",68.135,4.86,5,68,28,NA,NA,NA,7.38,0.6,NA,NA,"S69-J18",NA,NA,NA,NA,127.55,28.04,151.95,78.11,122.1,385.65,0.31660832360949,0.74,0.9708,0.1103,0.0101,4e-04,0.85,0.114859939602208,0.0117428206022556,0.000470366886171214,"Oil Added ; Prev-Oiled Inoc.",1039
"S69-N16","S5_S69_N16",7.63,"S5","Soil","2018-10-24","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","N16","Growing",103.632,5.57333333333333,8,28,NA,16,9.5,0.59375,6.94,5.5,NA,NA,"S69-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,651.03,93.91,81.46,440,35.66,0.724781971135294,0.695525956284153,0.925030483959131,"Oil Added ; Prev-Oiled Inoc.",1039
"S69-N17","S5_S69_N17",5.68,"S5","Soil","2018-11-27","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","N17","Growing",96,4.73,14,37,NA,9,2.68,0.297777777777778,7.03,2.82,NA,NA,"S69-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,10.1306,0.9802,0.5702,7.35,1.2302,0.443449149475208,0.316707398355921,0.856623388732197,"Oil Added ; Prev-Oiled Inoc.",1039
"S8-J18","S5_S08_J18",5.92,"S5","Soil","2018-11-19","Exp. Sample","8","Y","Not Prev-Oiled Inoc","No Oil Added","3","1","J18","Non-Growing",67.425,4.815,5,93,7,NA,NA,NA,7.38,0.61,NA,NA,"S8-J18",NA,NA,NA,NA,169.32,1.12,257.46,13.72,232.76,441.62,0.527059462886645,0.02,0.8708,0.1003,0.0101,4e-04,0.76,0.116587237010345,0.0131151798467731,0.000526038926880589,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S8-N16","S5_S08_N16",5.08,"S5","Soil","2018-10-24","Exp. Sample","8","Y","Not Prev-Oiled Inoc","No Oil Added","3","1","N16","Growing",NA,5.78666666666667,8,21,NA,14,9.36,0.668571428571428,6.79,2.14,NA,NA,"S8-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1911,0.0103,2e-04,0.1803,3e-04,0.971698113207547,0.4,0.998338870431894,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S8-N17","S5_S08_N17",6.58,"S5","Soil","2018-11-14","Exp. Sample","8","Y","Not Prev-Oiled Inoc","No Oil Added","3","1","N17","Growing",93.65,5.835,11,53,NA,9,2.74,0.304444444444444,7.81,2.54,NA,NA,"S8-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.4111,0.1402,3e-04,4e-04,0.2702,0.341617933723197,0.0011090573012939,0.00147819660014782,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S9-J17","S5_S09_J17",6.32,"S5","Soil","2018-11-06","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","J17","Non-Growing",59.625,4.4575,4,59,NA,NA,NA,NA,6.94,2.86,NA,NA,"S9-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,385.12,109.49,76.14,177.52,21.97,0.832876920736346,0.776067679135664,0.889869166374254,"Oil Added ; Not Prev-Oiled Inoc",1039
"S9-J18","S5_S09_J18",4.72,"S5","Soil","2018-11-19","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","J18","Non-Growing",43.85,3.51,4,74,30,NA,NA,NA,8.04,0.66,NA,NA,"S9-J18",NA,NA,NA,NA,103.9,7.1,187,38.6,143.85,336.6,0.427361853832442,0.528,1.0458,0.1213,0.0111,4e-04,0.913,0.117277385671469,0.0120116870468564,0.000437924239106635,"Oil Added ; Not Prev-Oiled Inoc",1039
"S9-N16","S5_S09_N16",5.02,"S5","Soil","2018-10-24","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","N16","Growing",71.628,4.34666666666667,5,31,NA,10,2,0.2,7.1,4.31,NA,NA,"S9-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,424.4,60.9,49.35,288.85,25.3,0.706496519721578,0.661085063630275,0.91946522361929,"Oil Added ; Not Prev-Oiled Inoc",1039
"S9-N17","S5_S09_N17",4.36,"S5","Soil","2018-11-14","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","N17","Growing",53.9,4.375,8,70,NA,1,0.01,0.01,7.22,2.06,NA,NA,"S9-N17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,47.1906,10.8801,9.4601,26.8501,3e-04,0.999972427484284,0.999968288867278,0.999988826982093,"Oil Added ; Not Prev-Oiled Inoc",1039
